id,name,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,Cluster,label,language
48Nuz6lmRorlF0C9JLLX44,Far From Your God,0.199,2.30E-06,0.945,0.229,0.229,0.298,-5.972,0.0698,140.08,1,4,0,Happy,english
60e7mapCS3fWZQukjLXU1H,Song of the Gods,0.199,4.24E-05,0.953,0.745,0.114,0.136,-6.771,0.126,151.273,7,4,4,Disgust,english
2CgQ5eYlfzPzuh1OKWaJuB,Toxic,0.161,7.80E-06,0.938,0.00527,0.331,0.217,-3.466,0.0831,96.342,1,4,5,Fear,english
4X5norWDCL1vfqFL0eaXMA,And yet I Smile,0.492,3.02E-05,0.865,0.0567,0.244,0.293,-9.286,0.0605,105,7,4,5,Fear,english
3dryvrgZpde5Gu2uGc9BKG,Dragon Chaser,0.476,0.00126,0.989,0.0018,0.355,0.176,-2.935,0.219,89.97,0,4,5,Fear,english
5mo20UkX1ct2FrdBZDk7oi,Mutilation,0.165,1.09E-06,0.911,0.734,0.111,0.226,-6.797,0.0874,110.226,11,4,4,Disgust,english
5qE0qKGoY08XRRjAvY8EZc,Let the Water Rise,0.453,3.32E-05,0.961,0.634,0.0737,0.184,-4.185,0.122,114.909,0,4,4,Disgust,english
0RSkbK5eWAPY5W5l5Q08zf,Baba Yaga,0.251,0.000355,0.966,0.00326,0.577,0.278,-1.803,0.236,195.038,10,4,0,Happy,english
0PCXdopjKC2LYo2JXdhgnS,Agresi Semu,0.534,0.000102,0.981,0.302,0.119,0.101,-6.712,0.0885,120.076,1,4,5,Fear,english
64syMK7oo9VPihJBj1IBGH,Scum,0.184,1.22E-05,0.954,0.804,0.0932,0.222,-7.719,0.103,83.346,4,3,4,Disgust,english
0t8R0Kb6rYiJ09irlffr5q,Smoke & Mirrors,0.483,0.000313,0.909,8.97E-06,0.0889,0.428,-5.912,0.149,166.002,1,4,0,Happy,english
0eDDxaBHirDr3BdN1WRCBK,Hyperforms,0.509,2.31E-05,0.999,0.81,0.584,0.136,-2.001,0.149,124.995,7,4,4,Disgust,english
2LVgyu6SKC08kZrmvG7HUa,Destroy the Weak,0.322,0.000242,0.836,0.178,0.365,0.385,-4.771,0.127,93.558,10,4,5,Fear,english
0ewdCdm0VoF9Sk7KB5upYB,Kraken,0.542,0.000744,0.953,0.523,0.152,0.324,-5.328,0.0967,119.986,10,4,4,Disgust,english
7bwQyPslMtD1LrQKR70quu,Two Steps Away,0.381,5.47E-06,0.957,0.0115,0.679,0.328,-5.685,0.0664,92.493,0,4,5,Fear,english
1zcYcB4dvqtKw7gO2YJ13Q,Padre Nuestro,0.272,0.00385,0.983,0.559,0.422,0.229,-7.647,0.11,84.382,11,4,4,Disgust,english
0cKUBmzC4GmClTPZT6hqVM,Puta Que Pariu,0.473,0.0016,0.946,7.00E-06,0.783,0.24,-6.99,0.467,133.702,11,3,3,Surprised,english
